p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
2.427710452336946e-61,0.23055871037225795,0.301,0.237,6.333653799101859e-57,RARS2
4.1204056244723784e-61,-0.3773253749663521,0.166,0.217,1.0749726233685988e-56,DBH-AS1
4.154039307584649e-61,0.16154023927768596,0.554,0.473,1.0837473149557592e-56,SLMAP
4.733630328350712e-61,0.26711845771145515,0.232,0.176,1.2349568163634173e-56,RAB18
5.059032773450209e-61,0.20861429740711146,0.203,0.147,1.319851060265425e-56,LMCD1-AS1
5.2673452933678035e-61,0.1501401091110004,0.623,0.545,1.3741977135867262e-56,ETV6
5.315605090703035e-61,-0.41986756615594456,0.182,0.234,1.3867882121135149e-56,CARHSP1
5.562747596676565e-61,0.32595578969026784,0.1,0.062,1.451265220496949e-56,BNIP3L
5.8315052776544594e-61,-0.3703143138743603,0.271,0.321,1.5213814118872718e-56,HMGCS1
5.9709666418203395e-61,0.21153088842021328,0.356,0.288,1.5577654871845083e-56,VPS8
7.268955102164432e-61,0.3152410977501887,0.171,0.122,1.8963976966036787e-56,ITM2B
9.180541794899066e-61,0.20285269582783272,0.338,0.271,2.3951115488712172e-56,MLH3
9.316873054217745e-61,-0.42772246884096754,0.084,0.125,2.4306790111148676e-56,STARD5
9.768004601725762e-61,-0.33963490993919665,0.065,0.103,2.548374720544234e-56,SAMHD1
9.817394907225157e-61,0.21394917364475874,0.327,0.261,2.561260157345971e-56,MORF4L2
1.3883688899960036e-60,0.25352208427586387,0.237,0.18,3.622115597110574e-56,USPL1
1.4161545705502995e-60,-0.42627308429209454,0.138,0.186,3.6946056591086763e-56,RFX1
1.8661681994570212e-60,0.1942984419956726,0.321,0.254,4.868646215563423e-56,PLCL2
2.222176978818697e-60,-0.4517794928867067,0.151,0.198,5.797437520040098e-56,ST3GAL2
2.3236353948149638e-60,-0.32120276175341866,0.658,0.628,6.062132381532759e-56,GALNT2
2.3315236135942843e-60,0.2040385835928863,0.367,0.299,6.082711955506128e-56,NCK1
2.4064062069675327e-60,0.2294616465289303,0.315,0.252,6.278073153357596e-56,KPNA4
2.4595219145225602e-60,0.3132920226028071,0.146,0.1,6.416646722797907e-56,SERINC1
2.657918996304426e-60,0.24964014322299666,0.241,0.183,6.934244869458617e-56,UQCRC2
2.7367991758392225e-60,-0.3081426988433056,0.218,0.275,7.140035369846947e-56,GPRC5C
2.776596772572464e-60,0.22636395115493557,0.239,0.182,7.243863319964301e-56,COPB2
3.198804553016992e-60,-0.3327311186847123,0.272,0.326,8.34536119836603e-56,ADH6
3.883291997682844e-60,-0.3370450708896867,0.402,0.431,1.0131120492754772e-55,GLYAT
4.257317826675139e-60,-0.26736782725004593,0.432,0.483,1.110691647801277e-55,LINC02256
4.4736955538862103e-60,0.2414570417705122,0.266,0.207,1.1671424330533734e-55,PABPN1
4.5047917882495593e-60,0.13922755700881245,0.658,0.578,1.1752551296364275e-55,ERBIN
6.819518502888026e-60,0.26394463898374876,0.221,0.166,1.779144182218457e-55,PIK3CA
7.318169583493305e-60,0.28976767252294056,0.147,0.101,1.9092372626375686e-55,AC021231.1
7.334114256137414e-60,-0.4467190048229688,0.124,0.17,1.91339706828369e-55,USF2
8.456144395716807e-60,-0.4617662413051724,0.214,0.264,2.206123511398558e-55,CRTC1
9.009305546220292e-60,0.16784897514310312,0.551,0.478,2.3504377239534118e-55,DDAH1
1.177350651297177e-59,0.23492236247634413,0.24,0.183,3.071590114169205e-55,CCDC93
1.200536249352873e-59,0.27829335398694255,0.139,0.095,3.1320790209367105e-55,PRRC1
1.423480805209246e-59,0.27304137301999165,0.19,0.139,3.713719072710402e-55,PCNP
2.0524293455472013e-59,0.3022336447370413,0.153,0.107,5.354582919598094e-55,PRICKLE2
2.220581171021342e-59,0.25210238835501864,0.244,0.187,5.793274217077579e-55,BORCS5
2.2581326313100457e-59,0.2555296906494189,0.313,0.252,5.891242221824778e-55,WTAP
2.8402148104201412e-59,0.2726884521998594,0.174,0.125,7.409836418905106e-55,PXK
2.944146407645198e-59,0.1588812636645352,0.519,0.443,7.680983562905557e-55,UBE3A
2.965529718035542e-59,-0.3695791273673218,0.238,0.291,7.736770481382926e-55,FPGS
3.164209117226328e-59,-0.4212553166499815,0.218,0.266,8.255105165931768e-55,AP002026.1
3.1767255280995254e-59,0.13301746972542094,0.392,0.317,8.287759230258852e-55,OSMR
